lemma,label
'nate,family
altricus,family
altrix,family
avus,family
auus,family
coniunx,family
coniux,family
filius,family
frater,family
Frater,family
fraterque,family
gemina,family
genetrix,family
genitor,family
genus,family
infans,family
mater,family
matr,family
maternus,family
matrisque,family
nao,family
nascor,family
Nata,family
Nate,family
natus,family
no,family
parens,family
pario,family
partus,family
pater,family
paternus,family
patriosque,family
patrius,family
patruum,family
pietas,family
proavum,family
progeo,family
proles,family
puer,family
soror,family
spons,family
αἶμαι,family
ἄλοχος,family
ἀμήτωρ,family
Γάμος,family
γάμος,family
γαστήρ,family
γεῖνος,family
γενέθλη,family
γενέθλα,family
γενετήρ,family
γενέτης,family
γενέτη,family
γένος,family
γλάγος,family
γονεύς,family
γόνος,family
Εἰλείθυια,family
ἐννεάκυκλος,family
θάλος,family
θυγάτηρ,family
θύγατρα,family
κασιγνήτης,family
κόρη,family
κόρος,family
κούρη,family
κοῦρε,family
κοῦρος,family
λοχεία,family
λοχέια,family
λοχεύω,family
λωχεύω,family
μητερός,family
μήτηρ,family
μῆτηρ,family
μητρυιά,family
μογόστοκος,family
μόγοστοκος,family
νύμφη,family
Νύμφη,family
νυμφίε,family
νυμφίον,family
νυμφίος,family
ὁμογάστριον,family
Παῖδες,family
Παῖδος,family
παῖς,family
πατήρ,family
πατή,family
πατρόφονος,family
πατρώιος,family
πατρῷος,family
προπάτωρ,family
Τέκνον,family
τέκνον,family
τέκος,family
τίκτω,family
τοκετοῖος,family
τοκεύς,family
τοκῆος,family
τόκος,family
υἱός,family
υἷος,family
φίλη,family
φίλος,family
ὠδίν,family
ὠδίνω,family
ὠδίς,family
ego,pers_1s
egomet,pers_1s
egomo,pers_1s
me,pers_1s
Me,pers_1s
mears,pers_1s
Mecus,pers_1s
Meitus,pers_1s
Mene,pers_1s
meus,pers_1s
miho,pers_1s
Nobis,pers_1p
Nosne,pers_1p
noster,pers_1p
nosteriquus,pers_1p
nostr,pers_1p
Nostra,pers_1p
nostraeue,pers_1p
nostrane,pers_1p
Nostrasne,pers_1p
nostrive,pers_1p
nostrus,pers_1p
Te,pers_2s
Tu,pers_2s
tu,pers_2s
tune,pers_2s
tunis,pers_2s
tuus,pers_2s
tuusquis,pers_2s
uester,pers_2p
uestr,pers_2p
uestraene,pers_2p
uestras,pers_2p
uestroo,pers_2p
uestrum,pers_2p
uestrus,pers_2p
uobis,pers_2p
uos,pers_2p
uosmet,pers_2p
Vester,pers_2p
vestra,pers_2p
Vestri,pers_2p
vestros,pers_2p
Vestrum,pers_2p
vestrum,pers_2p
Vestrus,pers_2p
Vobis,pers_2p
Vos,pers_2p
Vosne,pers_2p
γώ,pers_1s
ἐγὠ,pers_1s
ἐγώ,pers_1s
ἐγὼ,pers_1s
ἐγῶ,pers_1s
ἔγω,pers_1s
ἐμοῖ,pers_1s
ἐμοῖο,pers_1s
ἐμὀν,pers_1s
ἐμός,pers_1s
ἧμας,pers_1p
ἦμεις,pers_1p
ἡμεῖς,pers_1p
ἡμετέροισιν,pers_1p
ἡμέτερος,pers_1p
ἡμετέρουσι,pers_1p
μ,pers_1s
σέγε,pers_2s
σεῖό,pers_2s
σἐο,pers_2s
σοίγε,pers_2s
σοῖο,pers_2s
σός,pers_2s
σύ,pers_2s
τεοῦ,pers_2s
ὑμὰ,pers_2p
ὑμεῖς,pers_2p
ὕμεις,pers_2p
ὗμεις,pers_2p
ὑμετέροισιν,pers_2p
ὑμέτερος,pers_2p
ὔμμε,pers_2p
ὑμός,pers_2p
τίς,interrog
τὶς,interrog
τί,interrog
ποῖος,interrog
πόσος,interrog
πότερος,interrog
ποιός,interrog
πῶς,interrog
ποῦ,interrog
πόθεν,interrog
ποῖ,interrog
πότε,interrog
ὅπως,interrog
ἦ,interrog
ἄρα,interrog
?,interrog
